Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
1,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),7509665430.74,101,296.88,9548697.55,0.00,High Risk
2,SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION),5571167253.77,43,344.63,21131666.41,0.00,High Risk
3,QM BUILDERS,5561648399.87,75,233.97,2912517.20,0.00,High Risk
4,ST. TIMOTHY CONSTRUCTION CORPORATION,4781019339.35,77,275.57,64637489.11,0.00,High Risk
5,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,4665741721.01,74,289.26,59801925.17,0.00,High Risk
6,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,3684007914.48,49,266.33,10774197.45,0.00,High Risk
7,L.R. TIQUI BUILDERS, INC.,3516058642.15,41,329.51,36279749.11,0.00,High Risk
8,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,3344086581.02,58,296.09,29278690.23,0.00,High Risk
9,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,3124038144.17,35,253.49,41683537.07,0.00,High Risk
10,M. MONTESCLAROS ENTERPRISES, INC.,3048143528.58,28,477.93,73121350.67,0.00,High Risk
11,TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY),2937694807.70,46,245.63,18939252.10,0.00,High Risk
12,MG SAMIDAN CONSTRUCTION,2831491351.49,32,230.69,2557448.69,0.00,High Risk
13,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),2817068077.87,37,262.81,56999181.49,0.00,High Risk
14,BICOL GOLDROCK CONSTRUCTION CORPORATION,2803568829.10,39,269.21,10375390.61,0.00,High Risk
15,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,2773389887.49,35,287.49,9678954.23,0.00,High Risk
